age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0.3333,0.125,0.0404,1.0,0.625,0.3333,0.0714,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.2444,0.875,0.2098,1.0,0.625,0.3333,0.5714,0.0,0.5,,0.0,0.0,0.1515,0.9512,0
0.5333,0.5,0.1633,0.0667,0.4375,0.6667,0.5,0.8,1.0,,0.0,0.0,0.404,0.8049,0
0.2333,0.5,0.1328,1.0,0.625,0.6667,0.5,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.2111,0.5,0.3665,0.7333,0.5625,0.1667,0.0714,1.0,1.0,,0.0,0.0,0.2525,0.9512,0
0.3444,0.5,0.0567,1.0,0.625,0.3333,0.8571,0.0,1.0,,0.0,0.0,0.3838,0.0,1
0.5333,0.75,0.1788,0.4667,0.75,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.3444,0.5,0.3421,0.4,0.3125,0.3333,0.5,0.0,1.0,,0.0,0.0,0.4343,0.9512,0
0.5889,0.75,0.0596,0.6,0.8125,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.2667,0.5,0.1165,0.6,0.8125,0.3333,0.9286,0.0,1.0,,0.0,0.0,0.5051,0.9512,0
0.5444,0.5,0.0637,0.7333,0.5625,0.8333,0.0714,0.8,1.0,,0.0,0.0,0.404,0.9512,0
0.2778,0.5,0.1953,0.7333,0.5625,0.6667,0.4286,0.2,1.0,,0.0,0.0,0.3535,0.9512,0
0.6333,0.125,0.2276,0.6,0.8125,0.3333,0.7143,0.0,0.5,,0.0,0.0,0.404,0.9512,1
0.5889,0.5,0.0972,0.7333,0.5625,0.3333,0.5,0.0,1.0,,0.0,0.0,0.3838,0.9512,0
0.4889,0.5,0.0865,0.8,0.875,0.0,0.2857,0.8,1.0,,0.0,0.0,0.404,0.9512,0
0.4556,0.875,0.0684,0.5333,0.6875,0.3333,0.2143,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.3222,0.5,0.1828,0.5333,0.6875,0.6667,0.7143,0.2,1.0,,0.0,0.0,0.4343,0.9512,0
0.2778,0.5,0.0217,1.0,0.625,0.3333,0.2857,1.0,0.75,,0.0,0.0,0.404,0.9512,0
0.2,0.5,0.1529,0.7333,0.5625,0.6667,0.5714,0.6,1.0,,0.0,0.0,0.303,0.0,0
0.5222,0.5,0.0349,0.9333,0.9375,0.3333,0.7143,1.0,1.0,,0.0,0.4366,0.6061,0.3902,1
0.5556,0.125,0.1695,0.6,0.8125,0.0,0.2857,0.2,1.0,,0.0,0.0,0.5556,0.9512,1
0.5222,0.625,0.074,0.7333,0.5625,0.0,0.2857,0.2,1.0,,0.0,0.0,0.6061,0.9512,0
0.4778,0.5,0.1603,1.0,0.625,0.3333,0.9286,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.5111,0.5,0.1459,0.2667,0.1875,0.3333,0.5,0.0,1.0,,0.0,0.0,0.404,0.6341,0
0.3889,0.5,0.038,0.5333,0.6875,0.3333,0.5714,0.0,1.0,,0.0,0.0,0.404,0.8049,0
0.4556,0.5,0.0993,0.7333,0.5625,0.3333,0.0714,0.0,1.0,,0.0,0.0,0.4848,0.9512,0
0.3333,0.5,0.1267,0.7333,0.5625,0.3333,0.5,0.0,1.0,,0.0501,0.0,0.404,0.9512,0
0.3333,0.5,0.0401,0.6,0.8125,0.3333,0.8571,0.0,1.0,,0.0241,0.0,0.404,0.9512,0
0.3556,0.0,0.198,0.3333,0.25,0.5,0.0,0.2,1.0,,0.0,0.0,0.404,0.0,0
0.5333,0.5,0.1008,0.7333,0.5625,0.3333,1.0,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.4667,0.5,0.0786,0.6667,1.0,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.4545,0.9512,1
0.3222,0.5,0.0711,1.0,0.625,0.0,0.9286,0.2,1.0,,0.0,0.0,0.5859,0.9512,0
0.4,0.5,0.1048,0.7333,0.5625,0.3333,0.2143,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.3111,0.5,0.1234,1.0,0.625,0.0,0.0714,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.5889,0.5,0.1144,0.7333,0.5625,0.3333,0.0714,1.0,1.0,,0.0,0.0,0.404,0.9512,1
0.5444,0.625,0.1291,1.0,0.625,0.3333,0.2857,0.0,1.0,,0.0,0.0,0.5051,0.9512,1
0.2778,0.0,0.1352,1.0,0.625,0.6667,0.0,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.2111,0.5,0.0684,1.0,0.625,0.6667,0.7143,0.6,1.0,,0.0,0.0,0.3232,0.9512,0
0.3444,0.5,0.2088,0.6,0.8125,0.8333,0.8571,0.6,0.5,,0.0,0.0,0.404,0.9512,0
0.3222,0.75,0.1093,0.6,0.8125,0.3333,0.8571,0.0,1.0,,0.0,0.0,0.7071,0.9512,1
0.2556,0.5,0.1426,1.0,0.625,0.6667,0.5,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.8778,0.5,0.084,1.0,0.625,0.3333,0.7143,0.4,1.0,,0.0,0.0,0.202,0.9512,0
0.3,0.5,0.1441,0.7333,0.5625,0.6667,0.5714,0.6,1.0,,0.0,0.0,0.404,0.6341,0
0.4444,0.5,0.0217,0.4667,0.75,0.3333,0.0714,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.7444,0.0,0.1433,0.0,0.375,0.3333,0.0,0.0,1.0,,0.0,0.0,0.0202,0.9512,0
0.2,0.5,0.2085,0.0667,0.4375,0.6667,0.5714,0.6,1.0,,0.0,0.0,0.2222,0.9512,0
0.3444,0.25,0.0848,0.3333,0.25,0.3333,0.3571,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.2,0.5,0.301,0.7333,0.5625,0.6667,0.8571,0.2,1.0,,0.0,0.0,0.303,0.9512,0
0.5778,0.5,0.1862,0.6,0.8125,0.3333,0.5714,0.0,1.0,,0.0,0.0,0.404,0.122,0
0.5111,0.5,0.0348,0.7333,0.5625,0.3333,0.5714,1.0,1.0,,0.0,0.0,0.404,0.9512,0
0.6556,0.5,0.1077,0.7333,0.5625,0.3333,0.8571,0.0,1.0,,0.0,0.0,0.4848,0.9512,0
0.4889,0.5,0.2314,0.7333,0.5625,0.0,0.2143,0.2,1.0,,0.1434,0.0,0.404,0.9512,1
0.5889,0.5,0.2332,0.7333,0.5625,0.0,0.8571,0.6,1.0,,0.0,0.0,0.3535,0.9512,0
0.5444,0.25,0.1807,0.7333,0.5625,0.3333,0.7857,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.3667,0.5,0.1361,0.8,0.875,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.5051,0.9512,0
0.3333,0.5,0.0366,0.4,0.3125,0.6667,0.8571,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.4778,0.125,0.2767,0.6667,1.0,0.6667,0.7143,0.2,1.0,,0.0,0.0,0.5051,0.9512,1
0.6333,0.5,0.1684,0.5333,0.6875,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.4111,0.5,0.1931,1.0,0.625,0.0,0.2143,0.8,1.0,,0.0,0.0,0.404,0.9512,0
0.3111,0.5,0.1432,1.0,0.625,0.0,0.5,0.8,0.5,,0.0,0.0,0.2525,0.9512,0
0.3333,0.5,0.0793,0.7333,0.5625,0.3333,0.8571,1.0,0.25,,0.0,0.3611,0.3535,0.0,0
0.3778,0.25,0.1524,0.6,0.8125,0.3333,0.7857,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.3222,0.25,0.0779,1.0,0.625,0.6667,0.4286,0.2,1.0,,0.0,0.0,0.5051,0.9512,0
0.5333,0.75,0.1288,0.6667,1.0,0.3333,0.7143,0.0,1.0,,0.0,0.4366,0.6061,0.9512,1
0.4111,0.5,0.1365,1.0,0.625,0.3333,0.8571,0.0,1.0,,0.0,0.0,0.4848,0.9512,1
0.5333,0.5,0.1152,0.4667,0.75,0.0,0.2857,0.8,1.0,,0.0,0.0,0.404,0.2195,0
0.3556,0.125,0.168,0.7333,0.5625,0.6667,0.5714,0.6,0.5,,0.0,0.0,0.404,0.9512,0
0.8444,0.5,0.0836,0.8,0.875,0.3333,0.2857,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.4889,0.5,0.1335,0.6,0.8125,0.3333,0.2857,0.0,1.0,,0.1502,0.0,0.6061,0.9512,1
0.5222,0.75,0.1004,0.8,0.875,0.6667,0.7143,0.2,1.0,,0.0,0.0,0.5051,0.9512,0
0.2222,0.5,0.1268,1.0,0.625,0.6667,0.9286,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.3222,0.5,0.0697,0.7333,0.5625,0.6667,0.2143,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.3556,0.625,0.214,0.7333,0.5625,0.3333,0.2143,0.0,1.0,,0.0769,0.0,0.404,0.9512,1
0.1889,0.0,0.2053,0.0,0.375,0.6667,0.0,0.6,1.0,,0.341,0.0,0.3232,0.9512,0
0.3333,0.5,0.1313,0.0667,0.4375,0.6667,0.4286,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.3444,0.25,0.1275,0.7333,0.5625,0.6667,0.0714,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.4667,0.5,0.084,0.7333,0.5625,0.3333,0.4286,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.2667,0.5,0.2912,0.6,0.8125,0.6667,0.8571,0.4,1.0,,0.0,0.0,0.404,0.9512,0
0.4222,0.5,0.044,0.9333,0.9375,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.6222,0.75,0.226,0.7333,0.5625,0.3333,0.5714,0.0,1.0,,0.0,0.4332,0.5051,0.0488,1
0.3111,0.5,0.2545,1.0,0.625,0.3333,0.8571,1.0,1.0,,0.0406,0.0,0.2525,0.9512,0
0.4,0.5,0.0693,0.7333,0.5625,0.6667,0.5,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.5889,0.5,0.0644,0.4,0.3125,0.3333,0.4286,0.0,1.0,,0.0,0.0,0.5051,0.9512,0
0.6222,0.625,0.2041,1.0,0.625,0.3333,0.8571,0.0,1.0,,0.0,0.0,0.5051,0.9512,0
0.5444,0.25,0.1329,0.5333,0.6875,0.3333,0.2143,0.0,0.5,,0.0,0.0,0.404,0.9512,1
0.6111,0.5,0.1667,1.0,0.625,0.3333,0.8571,0.0,1.0,,0.0,0.0,0.5657,0.9512,0
0.2444,0.5,0.0691,0.7333,0.5625,0.6667,0.2143,0.2,1.0,,0.0,0.0,0.4141,0.9512,0
0.2333,0.5,0.1346,1.0,0.625,0.6667,0.5714,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.4444,0.5,0.0801,0.6,0.8125,0.3333,0.2857,0.0,1.0,,0.0,0.0,0.6061,0.9512,0
0.3333,0.5,0.052,0.6,0.8125,0.6667,0.2857,0.6,0.5,,0.0,0.0,0.404,0.2683,0
0.3222,0.875,0.1805,0.6,0.8125,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.5051,0.9512,1
0.2111,0.5,0.2031,1.0,0.625,0.6667,0.5714,0.6,0.5,,0.0,0.0,0.3535,0.9512,0
0.5222,0.5,0.1939,0.6,0.8125,0.3333,0.2857,1.0,1.0,,0.0,0.0,0.404,0.9512,1
0.2222,0.5,0.0752,1.0,0.625,0.6667,0.0714,0.6,1.0,,0.0,0.3946,0.2828,0.9512,0
0.3444,0.5,0.0774,0.4667,0.75,0.3333,0.0714,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.3889,0.0,0.0871,0.7333,0.5625,0.3333,0.0,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.4333,0.5,0.2463,1.0,0.625,0.0,0.2143,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.3111,0.5,0.0469,0.4667,0.75,0.6667,0.8571,0.2,1.0,,0.0,0.0,0.6061,0.9512,0
0.2667,0.5,0.0292,0.7333,0.5625,0.6667,0.5714,0.2,1.0,,0.0,0.4045,0.404,0.9512,0
0.4222,0.75,0.0815,0.7333,0.5625,0.3333,0.2143,0.0,1.0,,0.0439,0.0,0.3535,0.9512,0
0.4111,0.5,0.1712,0.6,0.8125,0.3333,0.8571,0.0,1.0,,0.0,0.0,0.5051,0.9512,0
0.5111,0.5,0.0985,0.4667,0.75,0.0,0.9286,0.2,0.5,,0.0,0.0,0.3636,0.9512,0
0.4222,0.125,0.0848,0.8,0.875,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.404,0.4878,1
0.4778,0.75,0.0383,0.7333,0.5625,0.3333,0.2143,0.0,1.0,,0.0,0.0,0.6061,0.9512,0
0.3,0.5,0.1099,0.5333,0.6875,0.3333,0.0714,1.0,1.0,,0.0,0.0,0.3535,0.9512,0
0.2222,0.5,0.0231,1.0,0.625,0.6667,0.8571,0.6,1.0,,0.0,0.0,0.202,0.9512,0
0.5444,0.5,0.0552,1.0,0.625,0.3333,0.2143,0.0,0.25,,0.0,0.0,0.404,0.9512,1
0.6778,0.625,0.0449,0.7333,0.5625,0.3333,0.2143,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.3,0.5,0.1568,1.0,0.625,0.6667,0.8571,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.2111,0.5,0.2134,1.0,0.625,0.6667,0.5714,0.6,1.0,,0.0,0.0,0.303,0.6341,0
0.5,0.5,0.1324,0.5333,0.6875,0.6667,0.7143,0.2,1.0,,0.0,0.359,0.404,0.9512,1
0.7778,0.5,0.071,1.0,0.625,0.6667,0.9286,0.4,1.0,,0.0,0.0,0.404,0.9512,0
0.3444,0.5,0.1252,0.7333,0.5625,0.6667,1.0,0.8,0.5,,0.0,0.0,0.303,0.9512,0
0.2444,0.5,0.1181,1.0,0.625,0.3333,0.5714,0.0,1.0,,0.0,0.0,0.2424,0.9512,0
0.4,0.5,0.0729,0.7333,0.5625,1.0,0.5714,0.8,1.0,,0.0,0.0,0.2424,0.9512,0
0.7111,0.5,0.1221,0.0667,0.4375,0.3333,0.2143,0.0,1.0,,0.0,0.5002,0.404,0.9512,0
0.4778,0.0,0.1176,1.0,0.625,0.0,0.0,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.5222,0.25,0.1253,1.0,0.625,0.0,0.0714,0.8,1.0,,0.0,0.0,0.3838,0.6341,0
0.3778,0.5,0.1335,0.7333,0.5625,0.6667,0.0714,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.3667,0.5,0.1098,0.6,0.8125,0.6667,0.2857,0.4,0.25,,0.0,0.0,0.404,0.7317,0
0.2333,0.5,0.1995,0.7333,0.5625,0.6667,0.2143,0.6,1.0,,0.0,0.0,0.3535,0.9512,0
0.5778,0.0,0.1703,0.7333,0.5625,0.0,0.0,0.2,1.0,,0.0,0.0,0.4545,0.9512,1
0.5333,0.5,0.1264,0.7333,0.5625,0.3333,0.2143,0.0,1.0,,0.0,0.0,0.4646,0.9512,0
0.2556,0.5,0.1445,0.6,0.8125,0.6667,0.4286,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.7889,0.75,0.3329,1.0,0.625,0.8333,0.8571,0.8,0.5,,0.0,0.4169,0.0202,0.9512,0
0.3222,0.5,0.129,0.7333,0.5625,0.0,0.2143,0.2,1.0,,0.0,0.0,0.6061,0.9512,0
0.4667,0.5,0.1539,0.6,0.8125,0.8333,0.5714,0.4,0.5,,0.0,0.0,0.5051,0.9512,0
0.7556,0.0,0.0258,0.2,0.125,0.0,0.0,0.2,1.0,,0.0,0.0,0.202,0.9512,0
0.2778,0.5,0.1702,0.7333,0.5625,0.6667,0.5714,0.8,1.0,,0.0,0.0,0.404,0.9512,0
0.4889,0.625,0.0528,0.8,0.875,0.0,0.2857,0.8,0.25,,0.0,0.0,0.404,0.9512,0
0.3111,0.5,0.0596,0.7333,0.5625,0.6667,0.2857,0.2,0.25,,0.0,0.0,0.404,0.2195,0
0.5,0.75,0.1354,0.8,0.875,0.3333,0.8571,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.4,0.5,0.1395,1.0,0.625,0.0,0.5714,0.8,1.0,,0.0,0.0,0.404,0.6341,0
0.4333,0.125,0.1586,0.4667,0.75,0.6667,0.2857,0.2,1.0,,0.0,0.0,0.4242,0.9512,0
0.5111,0.875,0.0691,0.8,0.875,1.0,0.7857,0.8,1.0,,0.0,0.0,0.404,0.9512,0
0.2,0.5,0.0174,0.0667,0.4375,0.6667,0.4286,0.6,1.0,,0.0,0.0,0.1616,0.9512,0
0.7333,0.25,0.0369,0.5333,0.6875,1.0,0.7143,0.2,1.0,,0.0,0.0,0.202,0.9512,0
0.3,0.5,0.0842,0.7333,0.5625,0.6667,0.5714,0.2,1.0,,0.0,0.4545,0.404,0.9512,0
0.3111,0.875,0.1181,0.7333,0.5625,0.3333,0.7857,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.5667,0.5,0.0647,1.0,0.625,0.3333,0.8571,0.0,1.0,,0.0,0.4539,0.404,0.9512,1
0.3,0.5,0.2883,0.6,0.8125,0.6667,0.2143,0.2,1.0,,0.0,0.0,0.5051,0.9512,0
0.3111,0.875,0.1008,0.6,0.8125,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.3,0.5,0.171,0.7333,0.5625,0.5,0.8571,0.8,1.0,,0.0,0.0,0.2525,0.9512,0
0.2333,0.5,0.2108,0.7333,0.5625,0.6667,0.2143,0.6,0.5,,0.0,0.0,0.404,0.9512,0
0.3778,0.5,0.3258,0.7333,0.5625,0.6667,0.4286,0.2,0.5,,0.0,0.0,0.404,0.9512,0
0.2,0.5,0.1239,0.7333,0.5625,0.6667,0.5714,0.6,1.0,,0.0,0.0,0.1212,0.9512,0
0.3667,0.5,0.0251,0.6,0.8125,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.6566,0.9512,0
0.4889,0.25,0.1221,1.0,0.625,0.3333,0.2857,0.0,0.5,,0.0,0.0,0.3838,0.9512,1
0.4778,0.5,0.0772,1.0,0.625,0.0,0.0714,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.3333,0.5,0.4268,1.0,0.625,0.6667,0.2143,0.2,0.5,,0.0,0.0,0.4545,0.9512,0
0.4444,0.5,0.1929,0.3333,0.25,0.3333,0.5,0.0,1.0,,0.0,0.0,0.404,0.6341,1
0.4111,0.125,0.0196,1.0,0.625,0.3333,0.0714,0.0,1.0,,0.0,0.0,0.4242,0.9512,1
0.3778,0.5,0.2048,0.7333,0.5625,0.3333,0.0714,0.0,0.5,,0.0,0.0,0.404,0.9512,0
0.4556,0.75,0.0964,0.6,0.8125,0.0,0.2857,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.5889,0.0,0.091,0.6,0.8125,0.0,0.0,0.2,1.0,,0.0,0.0,0.5051,0.9512,0
0.3444,0.5,0.0673,0.8,0.875,0.3333,0.7143,1.0,1.0,,0.0,0.0,0.5051,0.9512,0
0.6444,0.875,0.0738,0.6667,1.0,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.0101,0.9512,1
0.4222,0.5,0.1045,1.0,0.625,0.0,0.5,0.2,0.5,,0.0,0.0,0.2828,0.9512,0
0.2667,0.5,0.1075,1.0,0.625,0.3333,0.5,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.4556,0.25,0.3529,0.6,0.8125,0.3333,0.2143,0.0,0.5,,0.0,0.0,0.404,0.9512,0
0.5222,0.5,0.0815,1.0,0.625,0.3333,0.9286,0.0,1.0,,0.0,0.0,0.4545,0.9512,0
0.4556,0.125,0.0881,0.6,0.8125,0.3333,0.9286,0.0,1.0,,0.0,0.0,0.2424,0.9512,0
0.2556,0.5,0.1329,0.2667,0.1875,0.3333,1.0,0.4,1.0,,0.0,0.0,0.404,0.6341,0
0.4,0.5,0.0669,1.0,0.625,0.0,0.2143,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.4444,0.125,0.0383,0.8,0.875,0.6667,0.2857,0.2,1.0,,0.1408,0.0,0.5556,0.9512,1
0.3889,0.5,0.0936,0.8,0.875,0.3333,0.7143,0.4,1.0,,0.073,0.0,0.404,0.9512,1
0.2667,0.75,0.0222,0.7333,0.5625,0.6667,0.8571,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.2889,0.5,0.2676,0.8,0.875,0.6667,0.7143,0.2,1.0,,0.0,0.4307,0.404,0.9512,0
0.2111,0.0,0.1149,0.7333,0.5625,0.6667,0.0,0.6,1.0,,0.0,0.0,0.404,0.5366,0
0.5667,0.5,0.1747,0.6,0.8125,0.3333,0.2857,0.0,1.0,,0.0,0.0,0.5051,0.9512,1
0.4667,0.25,0.1716,1.0,0.625,0.6667,0.7143,0.2,1.0,,0.0,0.3076,0.404,0.9512,0
0.4111,0.875,0.0325,0.7333,0.5625,0.0,0.0714,0.8,1.0,,0.0,0.0,0.3535,0.9512,0
0.2,0.5,0.0944,0.0667,0.4375,0.6667,0.8571,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.4,0.5,0.0867,0.6,0.8125,0.3333,0.5714,0.0,0.5,,0.073,0.0,0.3636,0.9512,1
0.3889,0.5,0.0244,0.7333,0.5625,0.0,0.2143,0.2,1.0,,0.0,0.0,0.6061,0.9512,0
0.6444,0.625,0.1418,0.7333,0.5625,0.3333,0.8571,1.0,1.0,,0.1502,0.0,0.3535,0.9512,1
0.1889,0.5,0.044,0.0667,0.4375,0.6667,0.8571,0.6,1.0,,0.0,0.0,0.1212,0.9512,0
0.4889,0.25,0.1084,0.7333,0.5625,0.3333,1.0,0.0,0.5,,0.0,0.0,0.404,0.9512,0
0.4111,0.5,0.1403,0.7333,0.5625,0.3333,0.2143,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.3889,0.5,0.1036,1.0,0.625,0.6667,0.8571,0.2,0.0,,0.0,0.0,0.404,0.9512,0
0.6667,0.5,0.0578,0.7333,0.5625,0.3333,0.2143,0.0,0.25,,0.0,0.0,0.404,0.9512,0
0.6,0.625,0.0845,0.3333,0.25,0.3333,0.5,0.0,1.0,,0.0,0.0,0.404,0.9512,1
0.4111,0.5,0.4283,0.6,0.8125,0.6667,0.2857,0.2,0.5,,0.0,0.0,0.6061,0.9512,1
0.5556,0.5,0.211,0.4667,0.75,0.0,0.8571,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.4222,0.5,0.123,0.6,0.8125,0.3333,0.8571,0.0,1.0,,0.0,0.0,0.5051,0.7561,0
0.5,0.5,0.0737,0.6,0.8125,0.3333,0.7143,0.0,1.0,,0.0,0.0,0.5556,0.9512,0
0.2778,0.5,0.1718,0.0,0.375,0.6667,0.2143,0.2,1.0,,0.0,0.0,0.404,0.9512,0
0.3444,0.5,0.1333,1.0,0.625,0.3333,0.4286,0.0,1.0,,0.0,0.0,0.404,0.9512,0
0.7111,0.0,0.1264,0.2,0.125,0.0,0.0,0.2,1.0,,0.0,0.0,0.404,0.9512,0
1.0,0.5,0.0349,0.7333,0.5625,0.6667,0.5714,0.2,0.5,,0.0,0.5064,0.404,0.9512,0
0.6,0.5,0.119,0.7333,0.5625,0.3333,0.0714,0.0,0.5,,0.0,0.0,0.202,0.9512,0
0.5889,0.25,0.0945,0.8667,0.0625,0.6667,0.5,0.2,1.0,,0.0,0.0,0.3535,0.9512,0
0.2,0.5,0.1639,0.7333,0.5625,0.6667,0.8571,0.6,1.0,,0.0,0.0,0.404,0.9512,0
0.6667,0.0,0.0163,0.0,0.375,0.0,0.0,0.2,0.0,,0.0,0.0,0.101,0.9512,0
